sample_id,source_path,species,split,issue
,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/Nitric Oxide [NO]  [10102-43-9]/Nitric Oxide 191c Spectra/NO ( 476.9.1ppm adj, 5.11m, 190C).lab",,,filesystem_not_in_manifest
,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/Nitric Oxide [NO]  [10102-43-9]/Nitric Oxide high 191c Spectra/NO ( 476.9.1ppm adj, 5.11m, 190C).lab",,,filesystem_not_in_manifest
b9529e75706baee58ea61f304a6aeb49b9cd0379,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/B-99, 99% Biodiesel/B-99 191c Spectra/B-99 (   20.00ppm, 5.11m, 190C).lab",Biodiesel,staging,path_length_units_assumed_cm
a1581eed25b50e5cb379aac4e7db3fb87c224a6b,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/B-99, 99% Biodiesel/B-99 191c Spectra/B-99 (  100.00ppm, 5.11m, 190C).lab",Biodiesel,staging,path_length_units_assumed_cm
42d00feca6d4d45a2e0a2c52a5a8c1c94512d50d,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/B-99, 99% Biodiesel/B-99 191c Spectra/B-99 (  200.00ppm, 5.11m, 190C).lab",Biodiesel,staging,path_length_units_assumed_cm
9dba587f8196eaabda1f0f28fb77e4dceb5aa1ca,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/B-99, 99% Biodiesel/B-99 191c Spectra/B-99 (  500.00ppm, 5.11m, 190C).lab",Biodiesel,staging,path_length_units_assumed_cm
6ba3bc606e00675bcc6e27764b40d864399b64ef,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/Ethylene [C2H4]  [74-85-1]/Ethylene 191c Spectra/Ethylene (   9.74ppm, 5.11m, 190C).lab",C2H4,train,path_length_units_assumed_cm
82372cbeba9492c87e7a9ee15664ffd6c4e90c00,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/Ethylene [C2H4]  [74-85-1]/Ethylene 191c Spectra/Ethylene (  19.49ppm, 5.11m, 190C).lab",C2H4,test,path_length_units_assumed_cm
54ccaeb7e445925d4de3e7e1e0060d9d8cb0cb72,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/Ethylene [C2H4]  [74-85-1]/Ethylene 191c Spectra/Ethylene (  29.23ppm, 5.11m, 190C).lab",C2H4,val,path_length_units_assumed_cm
93e61afb519a295e7a75070685da007842dab801,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/Ethylene [C2H4]  [74-85-1]/Ethylene 191c Spectra/Ethylene (  300.00ppm, 5.11m, 190C).lab",C2H4,train,path_length_units_assumed_cm
528a1361043631dcdcace709a84822a25a73d133,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/Ethylene [C2H4]  [74-85-1]/Ethylene 191c Spectra/Ethylene (  38.98ppm, 5.11m, 190C).lab",C2H4,val,path_length_units_assumed_cm
